neighborhood,ride_start_count,ride_end_count,flow_diff,flow_ratio
ROGERS PARK,32246,32902,656,1.0203436085095825
SHEFFIELD & DEPAUL,120156,119125,-1031,0.9914194879989348
EDGEWATER,48946,50880,1934,1.0395129326196215
GRANT PARK,57734,53880,-3854,0.9332455745314719
"WICKER PARK,WEST TOWN",215316,215742,426,1.001978487432425
NORTH CENTER,51201,53120,1919,1.0374797367238922
"LITTLE ITALY, UIC",161938,161248,-690,0.9957391100297645
LOOP,359381,354625,-4756,0.986766133991502
UPTOWN,136446,135854,-592,0.9956612872491681
RUSH & DIVISION,94013,92115,-1898,0.9798113026921809
LINCOLN PARK,355584,361957,6373,1.0179226286897047
OLD TOWN,145037,144513,-524,0.9963871288016162
LOGAN SQUARE,73887,77058,3171,1.042916886597101
BRONZEVILLE,62700,62818,118,1.0018819776714514
HYDE PARK,112072,112917,845,1.0075397958455279
PRINTERS ROW,22907,21992,-915,0.9600558781158598
RIVER NORTH,372327,360263,-12064,0.9675983745471051
LINCOLN SQUARE,60374,60750,376,1.0062278464239574
WEST LOOP,325152,325737,585,1.001799158547387
BUCKTOWN,54270,55249,979,1.0180394324672932
LAKE VIEW,429396,430106,710,1.0016534853608323
WRIGLEYVILLE,30847,33163,2316,1.0750802347067787
LOWER WEST SIDE,42331,44065,1734,1.0409628877182207
UKRAINIAN VILLAGE AND EAST VILLAGE,66477,64579,-1898,0.9714487717556448
NEAR SOUTH SIDE,71540,72332,792,1.0110707296617276
LITTLE VILLAGE,5787,6107,320,1.0552963538966649
"KENWOOD,OAKLAND",11699,11452,-247,0.9788870843661851
MILLENIUM PARK,48239,49210,971,1.0201289413130454
"SOUTH SHORE, GRAND CROSSING",5753,5878,125,1.0217277941943335
BRIDGEPORT,21523,22036,513,1.0238349672443432
WASHINGTON PARK,3213,2729,-484,0.8493619670090259
BACK OF THE YARDS,4321,4503,182,1.0421198796574866
GOLD COAST,74704,73977,-727,0.990268258727779
PORTAGE PARK,2138,2347,209,1.097754911131899
"ARMOUR SQUARE,CHINATOWN",25749,26663,914,1.0354965241368597
WEST RIDGE,8625,9598,973,1.1128115942028987
"BRIGHTON PARK,MCKINLEY PARK",5187,4230,-957,0.8155002891844997
UNITED CENTER,14551,14299,-252,0.9826816026389938
"IRVING PARK,AVONDALE",33036,34761,1725,1.052215764620414
HUMBOLDT PARK,23434,24750,1316,1.0561577195527865
NORTH LAWNDALE,3010,3063,53,1.017607973421927
"NORTH PARK,ALBANY PARK",10571,11357,786,1.0743543657175292
"WASHINGTON HEIGHTS,ROSELAND",2172,2220,48,1.022099447513812
JACKSON PARK,6954,6931,-23,0.9966925510497555
WOODLAWN,24865,24776,-89,0.9964206716267846
ANDERSONVILLE,9773,10477,704,1.0720351990177017
MUSEUM CAMPUS,50831,49445,-1386,0.9727331746375244
AUSTIN,3074,3322,248,1.0806766428106702
"BELMONT CRAGIN,HERMOSA",2582,2806,224,1.0867544539116964
"BELMONT CRAIGIN,HERMOSA",2214,2490,276,1.1246612466124661
ENGLEWOOD,2622,2526,-96,0.9633867276887872
"MARQUETTE PARK,GAGE PARK",2494,2502,8,1.0032076984763432
WEST PULLMAN,274,285,11,1.0401459854014599
GARFIELD PARK,3712,3637,-75,0.9797952586206896
"MOUNT GREENWOOD,MORGAN PARK",1277,1333,56,1.0438527799530148
"ARCHER HEIGHTS,WEST ELSDON",1518,1450,-68,0.9552042160737813
"CHATHAM,BURNSIDE",2318,2253,-65,0.9719585849870578
PULLMAN,840,772,-68,0.919047619047619
DUNNING,1587,1561,-26,0.9836168872085697
SOUTH CHICAGO,1038,1074,36,1.0346820809248556
MIDWAY AIRPORT,428,437,9,1.0210280373831775
"MONTCLARE, GALEWOOD",479,492,13,1.0271398747390397
"AVALON PARK,CALUMET HEIGHTS",802,819,17,1.0211970074812968
AUBURN GRESHAM,654,692,38,1.0581039755351682
SOUTHEAST SIDE,2337,2389,52,1.0222507488232777
RIVERDALE,117,122,5,1.0427350427350428
WEST LAWN,436,454,18,1.0412844036697249
BEVERLY,877,857,-20,0.9771949828962372
ASHBURN,22,27,5,1.2272727272727273
"OAKLAND,KENWOOD",31,47,16,1.5161290322580645
